"Maquinaria","Hardware","Software","CapacitacionP","EstudioMer","Ventas_anuales2014"
"No","No","No","No","No",1152000.0
"No","No","No","No","No",1586317.0
"Si","No","No","Si","No",9900000.0
"No","No","No","No","No",1400000.0
"No","No","No","No","No",242400.0
"No","No","No","No","No",1029357.0
"No","No","No","No","No",530193.0
"No","No","No","No","No",1164791.0
"Si","Si","No","No","No",956739.0
"Si","Si","No","Si","No",1232677.0
"No","No","No","No","No",650000.0
"No","No","No","No","No",420735.0
"Si","No","No","No","No",1822755.0
"No","No","No","Si","No",455000.0
"Si","No","No","No","No",1826000.0
"No","No","No","No","No",802355.0
"No","No","No","No","No",3113434.0
"No","No","No","No","No",195018.0
"No","No","No","No","No",693926.0
"No","No","No","No","No",200000.0
"No","No","No","No","No",30000.0
"Si","No","Si","No","No",946187.0
"Si","Si","No","Si","No",4585190.0
"Si","No","No","Si","No",208000.0
"Si","No","Si","No","No",1746804.0
"No","No","Si","Si","No",1136751.0
"No","No","No","No","No",109543.0
"No","No","No","No","No",108320.0
"Si","No","No","No","No",123830.0
"Si","No","Si","No","No",1350951.0
"No","No","No","No","No",938306.0
"Si","No","No","Si","No",1760807.0
"No","No","No","No","No",266428.0
"No","No","No","Si","No",1822870.0
"No","No","No","No","No",975572.0
"No","No","No","No","No",294392.0
"No","No","No","No","No",2052310.0
"Si","No","No","Si","No",388147.0
"Si","No","No","No","No",521452.0
"Si","No","No","Si","No",625367.0
"No","No","No","No","No",150000.0
"Si","No","No","No","No",375909.0
"No","No","No","No","No",3491004.0
"No","No","No","No","No",273912.0
"No","No","No","No","No",627914.0
"No","No","No","No","No",115169.0
"Si","Si","Si","No","Si",8.909552E7
"Si","No","Si","No","No",1.0992809E7
"Si","No","No","No","No",466593.0
"No","No","No","No","No",400000.0
"No","No","No","No","No",1346887.0
"No","No","No","No","No",251999.0
"No","No","No","No","No",2883152.0
"No","No","No","No","No",240000.0
"Si","No","No","No","No",165155.0
"No","No","No","No","No",627888.0
"No","No","No","No","No",9820041.0
"No","No","No","No","No",3682105.0
"Si","No","No","No","No",15000.0
"Si","Si","No","Si","Si",775535.0
"Si","Si","No","No","No",54110.0
"Si","No","No","Si","No",605098.0
"Si","Si","No","Si","No",678864.0
"No","No","No","No","No",578050.0
"No","No","No","No","No",35000.0
"No","No","No","No","No",79997.0
"No","No","No","No","No",756167.0
"No","No","No","No","No",12000.0
"No","No","No","No","No",5908681.0
"No","No","No","No","No",850000.0
"No","No","No","No","No",320000.0
"No","No","No","No","No",12321.0
"No","No","No","No","No",12000.0
"No","Si","No","Si","No",422497.0
"No","No","No","No","No",80941.0
"No","No","No","No","No",1383084.0
"Si","No","No","Si","No",8320709.0
"Si","Si","No","No","No",192509.0
"No","No","No","No","No",12000.0
"Si","No","No","No","No",924641.0
"No","No","No","No","No",146000.0
"No","No","No","No","No",708492.0
"No","No","No","No","No",3230388.0
"No","No","No","No","No",80000.0
"No","Si","No","No","No",488605.0
"No","No","No","No","No",1490987.0
"Si","No","No","No","Si",1117941.0
"No","No","No","No","No",7711909.0
"No","No","Si","No","No",512643.0
"No","No","No","No","No",506468.0
"No","No","Si","No","No",5764395.0
"Si","No","No","Si","No",2376905.0
"No","No","No","No","No",2527358.0
"No","No","No","Si","No",398742.0
"No","No","No","No","No",655521.0
"Si","Si","No","Si","No",824738.0
"No","No","No","No","No",60372.0
"No","No","No","No","No",391980.0
"No","No","No","No","No",839421.0
"No","No","No","No","No",341201.0
"No","No","No","No","No",212539.0
"Si","No","No","No","No",78638.0
"No","No","No","No","No",577062.0
"Si","No","No","No","No",252271.0
"Si","No","No","Si","No",162779.0
"Si","No","No","No","No",705290.0
"No","No","No","No","No",596982.0
"No","No","No","No","No",42000.0
"Si","No","No","No","Si",683153.0
"No","No","No","No","No",249518.0
"Si","No","No","No","Si",120000.0
"Si","No","No","No","No",139953.0
"No","No","No","No","No",930579.0
"Si","No","No","No","No",3418782.0
"No","No","No","No","No",1.2745835E7
"No","No","No","Si","Si",3.443887E7
"Si","No","No","Si","No",7.4875045E7
"Si","No","No","No","No",2.6062427E7
"Si","Si","Si","Si","Si",2.38425341E8
"Si","Si","Si","Si","No",4.036659E7
"No","No","No","No","No",5448677.0
"Si","No","No","Si","Si",237838.0
"Si","No","No","Si","No",1560787.0
"No","No","No","No","No",28745.0
"Si","No","No","Si","No",2000000.0
"No","No","Si","Si","Si",1000000.0
"No","No","No","No","No",270237.0
"No","No","No","No","No",851162.0
"Si","No","No","No","No",415550.0
"Si","Si","No","Si","No",1800000.0
"Si","No","No","No","Si",788905.0
"Si","No","No","Si","No",500841.0
"No","Si","Si","Si","No",2323363.0
"Si","Si","Si","Si","Si",3.3011157E7
"Si","No","No","Si","No",715723.0
"No","No","No","No","No",1076708.0
"Si","No","No","Si","No",178147.0
"No","No","No","No","No",252015.0
"No","No","No","No","No",152670.0
"No","No","No","No","No",157794.0
"No","No","Si","Si","No",159140.0
"Si","Si","No","No","No",150000.0
"No","No","No","No","No",155565.0
"No","Si","Si","No","No",443866.0
"No","No","No","No","No",950464.0
"No","No","No","No","No",583263.0
"No","No","No","No","No",284768.0
"Si","No","No","No","No",280888.0
"No","No","No","No","No",792874.0
"No","No","No","No","No",575021.0
"No","No","No","No","No",208093.0
"Si","No","No","No","No",154276.0
"Si","No","No","No","No",888986.0
"Si","No","No","No","No",538725.0
"Si","Si","No","No","No",300000.0
"Si","No","Si","Si","Si",1391576.0
"No","Si","Si","No","No",420000.0
"No","No","No","No","No",332871.0
"Si","No","No","No","No",2908339.0
"No","No","No","No","No",112134.0
"No","No","No","No","No",250441.0
"No","No","No","No","No",87288.0
"Si","No","No","No","No",25742.0
